|     ID     |    CNE     |      Nom     |    Prenom    |    Ville     |   NumTele     |   Date     |
| D3A7816940 | s123443210 | errahouti    | aya          | hoceima      | +212671935150 | 2025-11-04 |
| 9Aj090677L | A234500000 | mamoni       | alae         | meknes       | +212672958811 | 2025-12-03 |
| 0H20560012 | A123456789 | Alami        | Noaman       | Agadir       | +212682416799 | 2025-12-03 |
| 6X193804N1 | A123456009 | Jallol       | Chaimae      | kneitra      | +212600112233 | 2025-12-03 |
| J89001231K | L911896701 | Kaber        | Anouar       | Azro         | +212691674320 | 2025-12-07 |
| 427M09948F | O123456789 | Nnouri       | Nisrine      | Oujda        | +212690315267 | 2025-12-07 |
| A001122879 | S122100000 | Omari        | Nawar        | Khribga      | +212765478192 | 2025-12-21 |
| 46054GV692 | Z000011113 | Zryouh       | Farah        | Kasita       | +212654325189 | 2025-12-21 |
| A89Z001V23 | Q123300115 | Bennani      | Yasser       | Rabat        | +212781234156 | 2025-12-26 |
| 8O4568P047 | S123999999 | Mellouli     | Amir         | Casablanca   | +212621346759 | 2025-12-26 |
| SBN9018900 | W123567899 | Abani        | Manal        | Nador        | +212672345167 | 2025-12-27 |
| 340C8416Z2 | E123000111 | ELmorabit    | Marwa        | Khenifra     | +212682314526 | 2025-12-27 |
